,latitude,longitude,name,Address,Area,Cost for two,Cuisine,Hours,Ratings,Type,Votes,Food-choices
0,22.568942,88.433182,Barbeque Nation," K1, RDB Boulevard, Block EP & GP, Sector 5, Salt Lake","RDB Boulevard, Sector 5",1400," North Indian, Chinese, Charcoal Grill, Kebab, BBQ","                                12 Noon to 2:45 PM, 6:30 PM to 10:45 PM (Mon-Sun)",4.8,Casual Dining,6424 votes,"ChickenDumBiryani,VegetableBiryani,MalaiKofta,Mocktails,MangoPastry,Firni,MuttonDakBunglow"
1,22.5137382464,88.3627206087,What's Up," 122A, Southern Avenue, Kolkata",Southern Avenue,1000," Chinese, Continental, Italian, Kebab","                                12 Noon to 12 Midnight (Mon, Tue, Wed, Thu, Sun), 12...",4.1,"Casual Dining,Lounge",1730 votes,"ChickenTikka,Mocktails,KiwiMojito,Bruschettas,Pinacolada,Risotto,Lasagne"
2,22.5525052927,88.3526985347,Peter Cat," 18A, Park Street, Park Street Area, Kolkata",Park Street Area,1200," Continental, North Indian",                                11 AM to 11:20 PM (Mon-Sun),4.2,Casual Dining,8396 votes,"CheloKebab,PrawnCurry,Screwdriver,MangoSouffle,SeaFood,AfghaniKebab,ChickenBharta"
3,22.518565,88.350252,Oudh 1590," 23/B, Desapriya Park(West)",Desapriya Park,1200," Mughlai, Awadhi","                                12 Noon to 3:30 PM, 6:30 PM to 10:30 PM (Mon-Sun)",4.3,Casual Dining,4065 votes,"RaanBiryani,GalautiKebab,Kheer,DalMakhani,ChickenIrani,DumBiryani,HandiBiryani"
4,22.5148736898,88.3932954445,Hoppipola," Acropolis Mall (4th Floor),1858, Rajdanga Main Road,? Kasba, ?Kolkata-700108","Acropolis Mall, Kasba",1500," Italian, Mexican, American, Mediterranean","                                12:30 PM to 11 PM (Mon, Tue, Wed, Thu, Fri, Sun)...",4.1,"Bar,Casual Dining",1721 votes,"Risotto,PorkPlatter,Brownie,PassionMartini,LongIslandIcedTea,ChickenSkewer,Nachos"
5,22.5148736898,88.3932954445,Ozora," Acropolis Mall, 1858, Rajdanga Main Road, Kasba, Kolkata","Acropolis Mall, Kasba",1700," Chinese, North Indian",                                4 PM to 12 Midnight (Mon-Sun),3.8,"Bar,Lounge",448 votes,"Mocktails,CrispyChicken,DaabChingri"
6,22.5279139,88.3679881,6 Ballygunge Place," 6, Ballygunge Place, Ballygunge, Kolkata",Ballygunge,1000, Bengali,"                                12:30 PM to 3:30 PM, 7 PM to 10:30 PM (Mon-Sun)",4.5,Casual Dining,2067 votes,"DaabChingri,FriedFish,Luchi,DimerDevil,BhapaDoi,PrawnMalaiCurry,Rasmalai"
7,22.5479593,88.3992831,JW Kitchen - JW Marriott Hotel Kolkata," JW Marriott Hotel Kolkata, 4A, J.B.S Haldane Avenue, Science City Area, Kolkata","JW Marriott Hotel Kolkata, Science City Area",2000," North Indian, European, Mediterranean, Thai, Salad, Juices",                                24 Hours (Mon-Sun),4.5,Casual Dining,1040 votes,"PaneerTikka,MuttonBiryani,ChocolateMousse,Noodles,DahiVada,CremeBrulee,ChickenBiryani"
8,22.526294,88.364614,Spice Kraft," 54/1/2A, Hazra Road, Ballygunge Phari, Near Hazra Law College, Ballygunge, Kolkata",Ballygunge,1200," Continental, Asian, Middle Eastern","                                12 Noon to 3 PM, 6 PM to 12 Midnight (Mon, Thu, Fri...",4.8,Casual Dining,2231 votes,"ShephardsPie,Mocktails,DajajChermoula,Mousse,SaffronRice,Sushi,BeerCocktail"
9,22.5528963637,88.3525379375,BarBQ," 43-47-55, Park Street Area, Kolkata",Park Street Area,900," Chinese, North Indian",                                12 Noon to 11:15 PM (Mon-Sun),4.3,"Casual Dining,Bar",5789 votes,"Noodles,ChickenButterMasala,ChickenHakkaChowmein,ChickenBharta,MuttonRoganjosh,JeeraRice,PorkChowmein"
